,class,tax_order,family,genus,species
142819,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,vetulus
142900,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,cataphractus
142955,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,flesus
143234,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,platessa
143485,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,barbatulus
143496,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,latipinna
143597,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,keta
143838,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,gorbuscha
144150,Actinopterygii,Perciformes,Gobiidae,Zosterisessor,ophiocephalus
144163,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,nebulosus
144203,Actinopterygii,Perciformes,Centropomidae,Centropomus,undecimalis
144209,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,patronus
144212,Actinopterygii,Perciformes,Carangidae,Trachinotus,carolinus
144266,Actinopterygii,Perciformes,Sparidae,Mylio,macrocephalus
144267,Actinopterygii,Perciformes,Centrarchidae,Lepomis,megalotis
144297,Actinopterygii,Semionotiformes,Lepisosteidae,Lepisosteus,platostomus
144303,Actinopterygii,Cypriniformes,Cyprinidae,Phoxinus,eos
144328,Actinopterygii,Gasterosteiformes,Gasterosteidae,Culaea,inconstans
144358,Actinopterygii,Perciformes,Sciaenidae,Aplodinotus,grunniens
144376,Actinopterygii,Amiiformes,Amiidae,Amia,calva
144389,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,catus
144395,Actinopterygii,Siluriformes,Ictaluridae,Pylodictis,olivaris
144404,Actinopterygii,Perciformes,Centrarchidae,Pomoxis,nigromaculatus
144463,Actinopterygii,Perciformes,Serranidae,Paralabrax,clathratus
144464,Actinopterygii,Cypriniformes,Cyprinidae,Agosia,chrysogaster
144467,Actinopterygii,Perciformes,Percidae,Etheostoma,flabellare
144474,Actinopterygii,Perciformes,Percidae,Etheostoma,nigrum
144496,Actinopterygii,Perciformes,Percidae,Etheostoma,spectabile
144549,Actinopterygii,Perciformes,Percidae,Etheostoma,caeruleum
144582,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,atratulus
144607,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,chrysocephalus
144635,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,maculatus
144656,Actinopterygii,Perciformes,Centrarchidae,Enneacanthus,gloriosus
144671,Actinopterygii,Cypriniformes,Cyprinidae,Pseudorasbora,parva
144794,Actinopterygii,Mugiliformes,Mugilidae,Mugil,curema
144886,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,mordax
144913,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,marmoratus
144924,Actinopterygii,Mugiliformes,Mugilidae,Mugil,auratus
144953,Actinopterygii,Perciformes,Sparidae,Rhabdosargus,holubi
144956,Actinopterygii,Gadiformes,Gadidae,Gaidropsarus,capensis
144964,Actinopterygii,Perciformes,Sparidae,Diplodus,sargus
144972,Actinopterygii,Perciformes,Sparidae,Lithognathus,mormyrus
144980,Actinopterygii,Perciformes,Sparidae,Pachymetopon,blochii
144985,Actinopterygii,Pleuronectiformes,Soleidae,Heteromycteris,capensis
144991,Actinopterygii,Pleuronectiformes,Soleidae,Synaptura,kleini
144993,Actinopterygii,Mugiliformes,Mugilidae,Liza,haematocheilus
144997,Actinopterygii,Perciformes,Moronidae,Morone,mississippiensis
144999,Actinopterygii,Perciformes,Centrarchidae,Lepomis,humilis
145085,Actinopterygii,Cypriniformes,Cyprinidae,Leuciscus,cephalus
145190,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,japonica
145442,Actinopterygii,Cypriniformes,Cyprinidae,Rhinichthys,cataractae
145446,Actinopterygii,Perciformes,Serranidae,Centropristis,striata
145456,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus,pancalus
145459,Actinopterygii,Clupeiformes,Clupeidae,Brevoortia,tyrannus
145485,Actinopterygii,Pleuronectiformes,Bothidae,Scophthalmus,aquosus
145516,Actinopterygii,Clupeiformes,Clupeidae,Clupea,pallasii
145603,Actinopterygii,Gasterosteiformes,Gasterosteidae,Pungitius,pungitius
145619,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,urophthalmus
145622,Actinopterygii,Perciformes,Gobiidae,Gillichthys,mirabilis
145626,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Fundulus,parvipinnis
145628,Chondrichthyes,Rajiformes,Dasyatidae,Urolophus,halleri
