,class,tax_order,family,genus,gen_spec
15687,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus sp.
15694,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,Cymatogaster sp.
15702,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,Melanotaenia sp.
15703,Actinopterygii,Cypriniformes,Cyprinidae,Pseudorasbora,Pseudorasbora sp.
15705,Actinopterygii,Batrachoidiformes,Batrachoididae,Opsanus,Opsanus sp.
15724,Actinopterygii,Gadiformes,Gadidae,Lota,Lota sp.
15727,Actinopterygii,Perciformes,Gobiidae,Lythrypnus,Lythrypnus sp.
15748,Actinopterygii,Perciformes,Sciaenidae,Sciaenops,Sciaenops sp.
15752,Actinopterygii,Perciformes,Coryphaenidae,Coryphaena,Coryphaena sp.
15753,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus sp.
15758,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda sp.
15764,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,Campostoma sp.
15766,Actinopterygii,Perciformes,Cichlidae,Etroplus,Etroplus sp.
15798,Actinopterygii,Clupeiformes,Clupeidae,Harengula,Harengula sp.
15802,Actinopterygii,Perciformes,Percidae,Percina,Percina sp.
15815,Actinopterygii,Cypriniformes,Cobitidae,Cobitis,Cobitis sp.
15825,Actinopterygii,Perciformes,Osphronemidae,Colisa,Colisa sp.
15856,Actinopterygii,Characiformes,Alestiidae,Alestes,Alestes sp.
15859,Actinopterygii,Perciformes,Gobiidae,Acanthogobius,Acanthogobius sp.
15870,Actinopterygii,Perciformes,Sciaenidae,Cynoscion,Cynoscion sp.
15872,Actinopterygii,Scorpaeniformes,Triglidae,Trigla,Trigla sp.
15880,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon sp.
15882,Actinopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,Amblypharyngodon sp.
15887,Actinopterygii,Characiformes,Gasteropelecidae,Carnegiella,Carnegiella sp.
15897,Actinopterygii,Cypriniformes,Cobitidae,Lepidocephalus,Lepidocephalus sp.
15898,Actinopterygii,Cypriniformes,Cyprinidae,Gila,Gila sp.
15901,Actinopterygii,Osteoglossiformes,Osteoglossidae,Heterotis,Heterotis sp.
15905,Actinopterygii,Perciformes,Cichlidae,Caquetaia,Caquetaia sp.
15906,Actinopterygii,Osmeriformes,Osmeridae,Mallotus,Mallotus sp.
15918,Actinopterygii,Perciformes,Channidae,Parachanna,Parachanna sp.
15922,Actinopterygii,Atheriniformes,Atherinidae,Craterocephalus,Craterocephalus sp.
15927,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,Acipenser sp.
15931,Actinopterygii,Salmoniformes,Salmonidae,Prosopium,Prosopium sp.
15933,Actinopterygii,Siluriformes,Ariidae,Ariopsis,Ariopsis sp.
15943,Myxini,Myxiniformes,Myxinidae,Myxine,Myxine sp.
15957,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,Rhamdia sp.
15968,Actinopterygii,Perciformes,Channidae,Channa,Channa sp.
15972,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys sp.
15981,Actinopterygii,Cypriniformes,Cyprinidae,Hybognathus,Hybognathus sp.
15982,Actinopterygii,Perciformes,Nandidae,Nandus,Nandus sp.
15991,Actinopterygii,Perciformes,Sciaenidae,Leiostomus,Leiostomus sp.
15993,Actinopterygii,Cypriniformes,Catostomidae,Myxocyprinus,Myxocyprinus sp.
15996,Actinopterygii,Perciformes,Percidae,Gymnocephalus,Gymnocephalus sp.
16002,Actinopterygii,Cypriniformes,Catostomidae,Cycleptus,Cycleptus sp.
16017,Actinopterygii,Cypriniformes,Cyprinidae,Pogonichthys,Pogonichthys sp.
16020,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,Hypomesus sp.
16024,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,Acanthopagrus sp.
16037,Actinopterygii,Percopsiformes,Aphredoderidae,Aphredoderus,Aphredoderus sp.
16040,Actinopterygii,Perciformes,Cichlidae,Chromidotilapia,Chromidotilapia sp.
16045,Actinopterygii,Siluriformes,Loricariidae,Ancistrus,Ancistrus sp.
16049,Actinopterygii,Perciformes,Serranidae,Serranus,Serranus sp.
16055,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,Pseudocrenilabrus sp.
16056,Actinopterygii,Esociformes,Umbridae,Umbra,Umbra sp.
16063,Actinopterygii,Perciformes,Nototheniidae,Pagothenia,Pagothenia sp.
16080,Actinopterygii,Cypriniformes,Catostomidae,Carpiodes,Carpiodes sp.
16100,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,Cnesterodon sp.
16104,Actinopterygii,Mugiliformes,Mugilidae,Aldrichetta,Aldrichetta sp.
16106,Actinopterygii,Cypriniformes,Cyprinidae,Gibelion,Gibelion sp.
16114,Actinopterygii,Cypriniformes,Cyprinidae,Platygobio,Platygobio sp.
16117,Actinopterygii,Cypriniformes,Cyprinidae,Leucaspius,Leucaspius sp.
16120,Actinopterygii,Cyprinodontiformes,Fundulidae,Lucania,Lucania sp.
16125,Actinopterygii,Gadiformes,Gadidae,Melanogrammus,Melanogrammus sp.
16142,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys,Scorpaenichthys sp.
16144,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Negaprion,Negaprion sp.
16148,Actinopterygii,Perciformes,Stromateidae,Peprilus,Peprilus sp.
16154,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera sp.
16161,Actinopterygii,Cypriniformes,Catostomidae,Erimyzon,Erimyzon sp.
16162,Actinopterygii,Perciformes,Blenniidae,Hypsoblennius,Hypsoblennius sp.
16165,Actinopterygii,Perciformes,Gobiidae,Gobio,Gobio sp.
16167,Actinopterygii,Perciformes,Sciaenidae,Pogonias,Pogonias sp.
16169,Actinopterygii,Characiformes,Characidae,Metynnis,Metynnis sp.
16182,Actinopterygii,Perciformes,Cichlidae,Pterophyllum,Pterophyllum sp.
16184,Actinopterygii,Siluriformes,Plotosidae,Plotosus,Plotosus sp.
16189,Actinopterygii,Osmeriformes,Osmeridae,Osmerus,Osmerus sp.
16198,Actinopterygii,Perciformes,Gobiidae,Periophthalmodon,Periophthalmodon sp.
16209,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa sp.
16233,Actinopterygii,Perciformes,Anabantidae,Macropodus,Macropodus sp.
16235,Actinopterygii,Perciformes,Percichthyidae,Macquaria,Macquaria sp.
16242,Actinopterygii,Perciformes,Cichlidae,Aulonocara,Aulonocara sp.
16247,Actinopterygii,Salmoniformes,Salmonidae,Thymallus,Thymallus sp.
16256,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,Nothobranchius sp.
16262,Actinopterygii,Perciformes,Sciaenidae,Bairdiella,Bairdiella sp.
16273,Actinopterygii,Cypriniformes,Cyprinidae,Abramis,Abramis sp.
16276,Actinopterygii,Perciformes,Kyphosidae,Girella,Girella sp.
16278,Actinopterygii,Characiformes,Characidae,Gymnocorymbus,Gymnocorymbus sp.
16279,Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon,Polyodon sp.
16282,Actinopterygii,Perciformes,Gobiidae,Gillichthys,Gillichthys sp.
16284,Actinopterygii,Cypriniformes,Cyprinidae,Candidia,Candidia sp.
16307,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,Marcusenius sp.
16313,Actinopterygii,Cypriniformes,Cyprinidae,Vimba,Vimba sp.
16320,Actinopterygii,Cypriniformes,Cyprinidae,Rutilus,Rutilus frisii
16456,Actinopterygii,Characiformes,Characidae,Cheirodon,Cheirodon sp.
16457,Actinopterygii,Characiformes,Characidae,Cheirodon,Cheirodon interruptus
16476,Actinopterygii,Cypriniformes,Cyprinidae,Garra,Garra rufa
16645,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis ringens
16672,Actinopterygii,Siluriformes,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus
16676,Actinopterygii,Cypriniformes,Cyprinidae,Labeobarbus,Labeobarbus kimberleyensis
16790,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus kasmira
16791,Actinopterygii,Perciformes,Cirrhitidae,Cirrhitus,Cirrhitus pinnulatus
16792,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,Lutjanus fulvus
16804,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,Coregonus albula
16903,Actinopterygii,Perciformes,Scombridae,Thunnus,Thunnus thynnus
