,class,tax_order,family,genus,species,gen_spec
111,Actinopterygii,Perciformes,Cichlidae,Tilapia,zillii,Tilapia zillii
112,Actinopterygii,Perciformes,Osphronemidae,Trichogaster,trichopterus,Trichogaster trichopterus
113,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,malma,Salvelinus malma
114,Actinopterygii,Pleuronectiformes,Soleidae,Cynoglossus,joyneri,Cynoglossus joyneri
115,Actinopterygii,Mugiliformes,Mugilidae,Liza,ramado,Liza ramado
116,Actinopterygii,Cypriniformes,Cyprinidae,Puntius,chola,Puntius chola
117,Actinopterygii,Siluriformes,Heptapteridae,Rhamdia,quelen,Rhamdia quelen
118,Actinopterygii,Atheriniformes,Atherinidae,Atherinops,affinis,Atherinops affinis
119,Actinopterygii,Pleuronectiformes,Pleuronectidae,Pleuronectes,americanus,Pleuronectes americanus
120,Actinopterygii,Acipenseriformes,Acipenseridae,Huso,huso,Huso huso
121,Actinopterygii,Esociformes,Esocidae,Esox,masquinongy,Esox masquinongy
122,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,Micropterus salmoides
123,Actinopterygii,Salmoniformes,Salmonidae,Coregonus,lavaretus,Coregonus lavaretus
124,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,oxyrhynchus,Acipenser oxyrhynchus
125,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,maculatus,Sphoeroides maculatus
126,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,ticto,Barbus ticto
127,Actinopterygii,Cypriniformes,Cyprinidae,Notemigonus,crysoleucas,Notemigonus crysoleucas
128,Actinopterygii,Perciformes,Rachycentridae,Rachycentron,canadum,Rachycentron canadum
129,Actinopterygii,Perciformes,Cichlidae,Australoheros,facetus,Australoheros facetus
130,Actinopterygii,Atheriniformes,Melanotaeniidae,Melanotaenia,nigrans,Melanotaenia nigrans
131,Actinopterygii,Siluriformes,Bagridae,Mystus,vittatus,Mystus vittatus
132,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,cornutus,Luxilus cornutus
133,Actinopterygii,Cypriniformes,Cyprinidae,Notropis,atherinoides,Notropis atherinoides
134,Actinopterygii,Mugiliformes,Mugilidae,Mugil,cephalus,Mugil cephalus
135,Actinopterygii,Perciformes,Centropomidae,Ambassis,sp.,Ambassis sp.
136,Actinopterygii,Perciformes,Percichthyidae,Macquaria,ambigua,Macquaria ambigua
137,Actinopterygii,Scorpaeniformes,Agonidae,Agonus,cataphractus,Agonus cataphractus
138,Actinopterygii,Perciformes,Sparidae,Sparus,aurata,Sparus aurata
139,Actinopterygii,Characiformes,Characidae,Hemigrammus,erythrozonus,Hemigrammus erythrozonus
140,Actinopterygii,Perciformes,Percidae,Sander,lucioperca,Sander lucioperca
141,Actinopterygii,Cypriniformes,Cyprinidae,Gobiocypris,rarus,Gobiocypris rarus
142,Actinopterygii,Perciformes,Cichlidae,Tilapia,melanopleura,Tilapia melanopleura
143,Actinopterygii,Siluriformes,Ictaluridae,Ameiurus,natalis,Ameiurus natalis
144,Actinopterygii,Perciformes,Percidae,Etheostoma,spectabile,Etheostoma spectabile
145,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,limanda,Limanda limanda
146,Actinopterygii,Perciformes,Anabantidae,Anabas,testudineus,Anabas testudineus
147,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,confluentus,Salvelinus confluentus
148,Actinopterygii,Perciformes,Percidae,Etheostoma,rubrum,Etheostoma rubrum
149,Actinopterygii,Cypriniformes,Cyprinidae,Ptychocheilus,oregonensis,Ptychocheilus oregonensis
150,Actinopterygii,Tetraodontiformes,Tetraodontidae,Sphoeroides,annulatus,Sphoeroides annulatus
151,Actinopterygii,Scorpaeniformes,Scorpaenidae,Sebastes,schlegelii,Sebastes schlegelii
152,Actinopterygii,Cypriniformes,Balitoridae,Noemacheilus,montanus,Noemacheilus montanus
153,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,sharpeyi,Barbus sharpeyi
154,Actinopterygii,Cypriniformes,Cyprinidae,Nothobranchius,guentheri,Nothobranchius guentheri
155,Actinopterygii,Mugiliformes,Mugilidae,Liza,macrolepis,Liza macrolepis
156,Actinopterygii,Perciformes,Gobiidae,Boleophthalmus,dussumieri,Boleophthalmus dussumieri
157,Actinopterygii,Cyprinodontiformes,Cyprinodontidae,Aphanius,fasciatus,Aphanius fasciatus
158,Actinopterygii,Perciformes,Cichlidae,Tilapia,aurea,Tilapia aurea
159,Actinopterygii,Cypriniformes,Cyprinidae,Barbus,gonionotus,Barbus gonionotus
